week_start,week_end,region,category,marketing_spend,adstock_marketing,email_sends,traffic_organic,traffic_paid,traffic_direct,traffic_total,source_system,grain,available_at
2023-10-23,2023-10-29,East,Apparel,7287.37,2329.9757142857143,19000,4904.8,2870.5,194.8,7970.3,ad_platform_export,weekly,2023-10-31 09:00:00
2023-10-30,2023-11-05,East,Apparel,7727.76,2433.077142857143,17000,4996.4,2864.4,173.5,8034.4,ad_platform_export,weekly,2023-11-07 09:00:00
2023-11-06,2023-11-12,East,Apparel,7901.620000000001,2474.9,21000,5324.3,2835.4,194.4,8354.1,ad_platform_export,weekly,2023-11-14 09:00:00
2023-11-13,2023-11-19,East,Apparel,7768.9,2507.3985714285714,26000,6391.8,2785.8,265.6,9443.5,ad_platform_export,weekly,2023-11-21 09:00:00
2023-11-20,2023-11-26,East,Apparel,8501.029999999999,2633.9157142857143,15000,6871.6,2781.6,140.4,9793.6,ad_platform_export,weekly,2023-11-28 09:00:00
2023-11-27,2023-12-03,East,Apparel,8474.97,2685.9900000000002,17000,6988.2,2888.0,185.0,10061.2,ad_platform_export,weekly,2023-12-05 09:00:00
2023-12-04,2023-12-10,East,Apparel,7611.25,2487.578571428571,26000,6220.2,2923.7,259.4,9403.6,ad_platform_export,weekly,2023-12-12 09:00:00
2023-12-11,2023-12-17,East,Apparel,7331.14,2341.2400000000002,12000,5273.1,2837.1,121.80000000000001,8231.9,ad_platform_export,weekly,2023-12-19 09:00:00
2023-12-18,2023-12-24,East,Apparel,7066.5,2252.1785714285716,22000,4572.1,2942.7,216.6,7731.3,ad_platform_export,weekly,2023-12-26 09:00:00
2023-12-25,2023-12-31,East,Apparel,18639.89,4892.905714285714,22000,4349.9,3786.3,223.4,8359.5,ad_platform_export,weekly,2024-01-02 09:00:00
2024-01-01,2024-01-07,East,Apparel,22819.12,7675.704285714286,16000,4248.7,4528.6,166.5,8943.7,ad_platform_export,weekly,2024-01-09 09:00:00
2024-01-08,2024-01-14,East,Apparel,22898.74,6852.905714285715,19000,4335.9,4757.1,193.0,9285.9,ad_platform_export,weekly,2024-01-16 09:00:00
2024-01-15,2024-01-21,East,Apparel,12815.900000000001,4938.952857142857,16000,4485.6,3900.9,145.1,8531.6,ad_platform_export,weekly,2024-01-23 09:00:00
2024-01-22,2024-01-28,East,Apparel,7049.639999999999,2365.2557142857145,32000,4429.6,3080.0,317.5,7827.2,ad_platform_export,weekly,2024-01-30 09:00:00
2024-01-29,2024-02-04,East,Apparel,7319.71,2318.3971428571426,24000,4377.7,2980.9,234.3,7592.9,ad_platform_export,weekly,2024-02-06 09:00:00
2024-02-05,2024-02-11,East,Apparel,7337.04,2316.214285714286,19000,4598.6,3000.0,187.0,7785.6,ad_platform_export,weekly,2024-02-13 09:00:00
2024-02-12,2024-02-18,East,Apparel,7089.71,2261.4385714285713,22000,4757.3,3001.4,217.8,7976.3,ad_platform_export,weekly,2024-02-20 09:00:00
2024-02-19,2024-02-25,East,Apparel,7382.08,2329.924285714286,28000,4557.7,2947.3,265.7,7770.799999999999,ad_platform_export,weekly,2024-02-27 09:00:00
2024-02-26,2024-03-03,East,Apparel,7109.0,2287.2,21000,4897.9,2905.2,206.9,8010.0,ad_platform_export,weekly,2024-03-05 09:00:00
2024-03-04,2024-03-10,East,Apparel,7416.87,2310.8399999999997,22000,5017.2,3032.3,217.2,8266.6,ad_platform_export,weekly,2024-03-12 09:00:00
2024-03-11,2024-03-17,East,Apparel,7446.69,2396.554285714286,24000,5221.9,3022.8,242.3,8487.1,ad_platform_export,weekly,2024-03-19 09:00:00
2024-03-18,2024-03-24,East,Apparel,7518.63,2352.2514285714287,14000,5151.5,2917.9,133.8,8203.0,ad_platform_export,weekly,2024-03-26 09:00:00
2024-03-25,2024-03-31,East,Apparel,7225.83,2329.285714285714,29000,5317.3,2944.2,299.1,8560.6,ad_platform_export,weekly,2024-04-02 09:00:00
2024-04-01,2024-04-07,East,Apparel,13490.04,3644.184285714286,20000,5598.0,3485.5,201.5,9285.0,ad_platform_export,weekly,2024-04-09 09:00:00
2024-04-08,2024-04-14,East,Apparel,21254.1,6619.667142857143,18000,5722.2,4506.3,178.9,10407.3,ad_platform_export,weekly,2024-04-16 09:00:00
2024-04-15,2024-04-21,East,Apparel,7971.150000000001,3238.3300000000004,26000,5592.8,3391.7,269.6,9253.9,ad_platform_export,weekly,2024-04-23 09:00:00
2024-04-22,2024-04-28,East,Apparel,7642.530000000001,2448.0442857142857,22000,5569.8,2911.5,197.7,8679.0,ad_platform_export,weekly,2024-04-30 09:00:00
2024-04-29,2024-05-05,East,Apparel,8848.119999999999,2634.13,14000,5899.4,2988.6,134.1,9022.2,ad_platform_export,weekly,2024-05-07 09:00:00
2024-05-06,2024-05-12,East,Apparel,13220.25,4239.095714285714,27000,6009.6,3814.9,256.7,10081.2,ad_platform_export,weekly,2024-05-14 09:00:00
2024-05-13,2024-05-19,East,Apparel,7847.549999999999,2612.7885714285717,13000,6500.1,3015.1,130.8,9645.9,ad_platform_export,weekly,2024-05-21 09:00:00
2024-05-20,2024-05-26,East,Apparel,7998.12,2539.671428571429,15000,5910.0,3003.0,148.1,9061.1,ad_platform_export,weekly,2024-05-28 09:00:00
2024-05-27,2024-06-02,East,Apparel,16956.86,4722.727142857142,10000,6083.2,3743.0,97.2,9923.6,ad_platform_export,weekly,2024-06-04 09:00:00
2024-06-03,2024-06-09,East,Apparel,19699.9,6174.748571428571,30000,6089.9,4341.0,309.2,10740.1,ad_platform_export,weekly,2024-06-11 09:00:00
2024-06-10,2024-06-16,East,Apparel,29707.260000000002,8971.701428571429,28000,6129.1,4740.3,290.0,11159.7,ad_platform_export,weekly,2024-06-18 09:00:00
2024-06-17,2024-06-23,East,Apparel,17357.15,6610.584285714286,24000,6409.9,4263.8,236.5,10909.8,ad_platform_export,weekly,2024-06-25 09:00:00
2024-06-24,2024-06-30,East,Apparel,7696.2,2573.902857142857,15000,6221.1,2944.4,147.2,9312.8,ad_platform_export,weekly,2024-07-02 09:00:00
2024-07-01,2024-07-07,East,Apparel,11552.76,3013.0185714285712,21000,5869.5,3168.8,211.0,9249.3,ad_platform_export,weekly,2024-07-09 09:00:00
2024-07-08,2024-07-14,East,Apparel,25429.63,8302.45,20000,6043.4,4597.7,191.0,10832.2,ad_platform_export,weekly,2024-07-16 09:00:00
2024-07-15,2024-07-21,East,Apparel,7630.19,2835.89,21000,6040.7,3075.7,199.8,9316.4,ad_platform_export,weekly,2024-07-23 09:00:00
2024-07-22,2024-07-28,East,Apparel,8010.48,2535.4700000000003,18000,6061.1,3013.8,187.7,9262.4,ad_platform_export,weekly,2024-07-30 09:00:00
2024-07-29,2024-08-04,East,Apparel,31874.28,8602.231428571427,19000,6141.6,4485.3,189.0,10815.9,ad_platform_export,weekly,2024-08-06 09:00:00
2024-08-05,2024-08-11,East,Apparel,27528.37,9800.152857142859,27000,5819.3,4667.3,263.9,10750.5,ad_platform_export,weekly,2024-08-13 09:00:00
2024-08-12,2024-08-18,East,Apparel,12950.16,4384.552857142858,27000,5819.0,3935.5,270.9,10025.5,ad_platform_export,weekly,2024-08-20 09:00:00
2024-08-19,2024-08-25,East,Apparel,8034.99,2716.8928571428573,24000,5639.0,2914.2,247.3,8800.4,ad_platform_export,weekly,2024-08-27 09:00:00
2024-08-26,2024-09-01,East,Apparel,15523.05,4350.634285714285,19000,5590.2,3732.1,177.9,9500.0,ad_platform_export,weekly,2024-09-03 09:00:00
2024-09-02,2024-09-08,East,Apparel,15429.34,4929.131428571428,17000,5510.9,4036.8,150.2,9697.8,ad_platform_export,weekly,2024-09-10 09:00:00
2024-09-09,2024-09-15,East,Apparel,25093.43,7909.821428571428,17000,5405.9,4682.9,168.8,10257.6,ad_platform_export,weekly,2024-09-17 09:00:00
2024-09-16,2024-09-22,East,Apparel,7484.84,2988.485714285714,26000,5321.4,3230.2,255.6,8807.1,ad_platform_export,weekly,2024-09-24 09:00:00
2024-09-23,2024-09-29,East,Apparel,7135.43,2305.247142857143,19000,5129.8,2840.2,181.0,8151.299999999999,ad_platform_export,weekly,2024-10-01 09:00:00
2024-09-30,2024-10-06,East,Apparel,7771.59,2431.531428571429,23000,4917.5,2992.7,235.1,8145.2,ad_platform_export,weekly,2024-10-08 09:00:00
2024-10-07,2024-10-13,East,Apparel,7424.5,2366.7028571428573,22000,4871.5,3083.2,218.5,8173.2,ad_platform_export,weekly,2024-10-15 09:00:00
2024-10-14,2024-10-20,East,Apparel,7347.42,2331.787142857143,28000,4755.2,2973.9,273.8,8003.1,ad_platform_export,weekly,2024-10-22 09:00:00
2024-10-21,2024-10-27,East,Apparel,14224.25,3793.218571428571,19000,4918.2,3632.4,189.20000000000002,8740.0,ad_platform_export,weekly,2024-10-29 09:00:00
2024-10-28,2024-11-03,East,Apparel,43544.34,12354.562857142857,25000,5197.9,5113.9,248.3,10560.2,ad_platform_export,weekly,2024-11-05 09:00:00
2024-11-04,2024-11-10,East,Apparel,17871.09,7713.948571428571,26000,5574.0,4496.2,261.5,10331.7,ad_platform_export,weekly,2024-11-12 09:00:00
2024-11-11,2024-11-17,East,Apparel,8049.26,2659.0185714285717,19000,6414.4,2991.7,197.8,9603.8,ad_platform_export,weekly,2024-11-19 09:00:00
2024-11-18,2024-11-24,East,Apparel,8372.72,2671.441428571429,27000,7118.2,2871.2,247.1,10236.7,ad_platform_export,weekly,2024-11-26 09:00:00
2024-11-25,2024-12-01,East,Apparel,8470.99,2713.447142857143,24000,7251.6,2939.9,245.8,10437.5,ad_platform_export,weekly,2024-12-03 09:00:00
2024-12-02,2024-12-08,East,Apparel,8441.04,2655.281428571429,17000,6310.9,3009.6,182.8,9503.3,ad_platform_export,weekly,2024-12-10 09:00:00
2024-12-09,2024-12-15,East,Apparel,7574.52,2474.9957142857143,22000,5255.2,2987.9,225.0,8468.1,ad_platform_export,weekly,2024-12-17 09:00:00
2024-12-16,2024-12-22,East,Apparel,7453.31,2349.8971428571426,24000,4556.0,2992.6,247.6,7796.5,ad_platform_export,weekly,2024-12-24 09:00:00
2024-12-23,2024-12-29,East,Apparel,7040.8,2258.4785714285713,22000,4485.8,2922.4,209.5,7617.7,ad_platform_export,weekly,2024-12-31 09:00:00
2024-12-30,2025-01-05,East,Apparel,861.55,2064.58,5000,533.0,375.6,50.6,959.3,ad_platform_export,weekly,2025-01-07 09:00:00
2024-11-25,2024-12-01,East,Beauty,332.87,332.87,1217,728.3,231.5,49.4,1009.2,ad_platform_export,weekly,2024-12-03 09:00:00
2024-12-02,2024-12-08,East,Beauty,2330.09,332.87,6950,6169.4,1481.0,291.7,7942.0,ad_platform_export,weekly,2024-12-10 09:00:00
2024-12-09,2024-12-15,East,Beauty,2330.09,332.87,6350,5451.2,1470.4,295.5,7217.4,ad_platform_export,weekly,2024-12-17 09:00:00
2024-12-16,2024-12-22,East,Beauty,2330.09,332.87,8049,5649.8,1455.1,303.9,7408.5,ad_platform_export,weekly,2024-12-24 09:00:00
2024-12-23,2024-12-29,East,Beauty,2330.09,332.87,7010,6124.7,1271.7,282.2,7678.6,ad_platform_export,weekly,2024-12-31 09:00:00
2024-12-30,2025-01-05,East,Beauty,332.87,332.87,749,721.1,245.2,43.8,1010.1,ad_platform_export,weekly,2025-01-07 09:00:00
2022-12-26,2023-01-01,East,Electronics,676.0,676.0,4000,732.0,118.9,92.5,943.3,ad_platform_export,weekly,2023-01-03 09:00:00
2023-01-02,2023-01-08,East,Electronics,4436.27,1275.5314285714285,22000,4973.6,1485.5,430.9,6890.0,ad_platform_export,weekly,2023-01-10 09:00:00
2023-01-09,2023-01-15,East,Electronics,4455.599999999999,1416.1814285714286,21000,4115.7,1578.5,325.9,6020.0,ad_platform_export,weekly,2023-01-17 09:00:00
2023-01-16,2023-01-22,East,Electronics,4523.52,1440.5442857142857,12000,3709.8,1521.9,164.5,5396.1,ad_platform_export,weekly,2023-01-24 09:00:00
2023-01-23,2023-01-29,East,Electronics,4552.11,1437.4642857142858,21000,3506.3,1654.6000000000001,252.39999999999998,5413.4,ad_platform_export,weekly,2023-01-31 09:00:00
2023-01-30,2023-02-05,East,Electronics,4805.66,1516.9485714285713,13000,3071.2,1682.7,145.8,4899.8,ad_platform_export,weekly,2023-02-07 09:00:00
2023-02-06,2023-02-12,East,Electronics,4600.3,1449.5342857142857,19000,2799.4,1632.8,198.6,4630.8,ad_platform_export,weekly,2023-02-14 09:00:00
2023-02-13,2023-02-19,East,Electronics,4787.99,1535.652857142857,27000,2857.9,1740.1,275.8,4873.8,ad_platform_export,weekly,2023-02-21 09:00:00
2023-02-20,2023-02-26,East,Electronics,10164.77,2826.7157142857145,12000,3055.1,2479.7,120.9,5655.5,ad_platform_export,weekly,2023-02-28 09:00:00
2023-02-27,2023-03-05,East,Electronics,9250.99,3260.707142857143,16000,3192.3,2531.7,171.8,5896.0,ad_platform_export,weekly,2023-03-07 09:00:00
2023-03-06,2023-03-12,East,Electronics,19542.9,5453.658571428571,22000,3150.7000000000003,3486.8,230.1,6867.700000000001,ad_platform_export,weekly,2023-03-14 09:00:00
2023-03-13,2023-03-19,East,Electronics,8938.3,3612.8685714285716,26000,3037.1,2740.8,259.3,6037.099999999999,ad_platform_export,weekly,2023-03-21 09:00:00
2023-03-20,2023-03-26,East,Electronics,4933.34,1585.3428571428572,20000,3202.8,1713.9,211.2,5127.8,ad_platform_export,weekly,2023-03-28 09:00:00
2023-03-27,2023-04-02,East,Electronics,4804.75,1546.8771428571429,15000,3296.7,1611.2,140.2,5048.2,ad_platform_export,weekly,2023-04-04 09:00:00
2023-04-03,2023-04-09,East,Electronics,8873.869999999999,2452.5042857142857,17000,3362.0,2163.8,178.7,5704.5,ad_platform_export,weekly,2023-04-11 09:00:00
2023-04-10,2023-04-16,East,Electronics,9883.31,3374.8528571428574,25000,3571.5,2710.2,224.60000000000002,6506.3,ad_platform_export,weekly,2023-04-18 09:00:00
2023-04-17,2023-04-23,East,Electronics,4976.63,1691.1442857142858,19000,3602.3,1723.7,191.9,5517.6,ad_platform_export,weekly,2023-04-25 09:00:00
2023-04-24,2023-04-30,East,Electronics,5040.05,1598.4842857142855,26000,3493.4,1694.1,258.1,5445.8,ad_platform_export,weekly,2023-05-02 09:00:00
2023-05-01,2023-05-07,East,Electronics,5094.05,1628.2157142857143,28000,3630.1,1651.0,303.4,5584.8,ad_platform_export,weekly,2023-05-09 09:00:00
2023-05-08,2023-05-14,East,Electronics,5852.24,1705.9771428571428,14000,3753.0,1688.3,130.6,5572.2,ad_platform_export,weekly,2023-05-16 09:00:00
2023-05-15,2023-05-21,East,Electronics,10930.369999999999,3294.858571428572,21000,3730.8999999999996,2751.0,218.5,6700.5,ad_platform_export,weekly,2023-05-23 09:00:00
2023-05-22,2023-05-28,East,Electronics,12477.5,3939.1028571428574,26000,3784.5,2852.6,259.1,6896.3,ad_platform_export,weekly,2023-05-30 09:00:00
2023-05-29,2023-06-04,East,Electronics,6793.32,2481.8657142857146,22000,3902.2,2189.0,219.1,6310.3,ad_platform_export,weekly,2023-06-06 09:00:00
2023-06-05,2023-06-11,East,Electronics,5281.51,1690.1200000000001,25000,3812.0,1703.0,246.1,5761.1,ad_platform_export,weekly,2023-06-13 09:00:00
2023-06-12,2023-06-18,East,Electronics,5312.89,1677.7242857142858,23000,3864.5,1585.2,225.2,5674.8,ad_platform_export,weekly,2023-06-20 09:00:00
2023-06-19,2023-06-25,East,Electronics,5023.68,1614.412857142857,21000,3775.7,1688.3,197.1,5661.2,ad_platform_export,weekly,2023-06-27 09:00:00
2023-06-26,2023-07-02,East,Electronics,5230.38,1640.8685714285714,22000,3733.7,1723.3,218.5,5675.4,ad_platform_export,weekly,2023-07-04 09:00:00
2023-07-03,2023-07-09,East,Electronics,6437.62,1865.7757142857142,19000,3823.1,1755.6,187.2,5765.9,ad_platform_export,weekly,2023-07-11 09:00:00
2023-07-10,2023-07-16,East,Electronics,11401.41,3284.867142857143,23000,3681.7,2669.5,244.8,6596.1,ad_platform_export,weekly,2023-07-18 09:00:00
2023-07-17,2023-07-23,East,Electronics,15837.02,4991.9971428571425,18000,3688.3,3309.9,173.3,7171.5,ad_platform_export,weekly,2023-07-25 09:00:00
2023-07-24,2023-07-30,East,Electronics,4914.5599999999995,2137.7014285714286,24000,3696.7,1906.5,227.10000000000002,5830.4,ad_platform_export,weekly,2023-08-01 09:00:00
2023-07-31,2023-08-06,East,Electronics,25489.64,7202.858571428572,15000,3577.5,3839.3,143.8,7560.5,ad_platform_export,weekly,2023-08-08 09:00:00
2023-08-07,2023-08-13,East,Electronics,13591.84,4697.487142857143,25000,3624.6,3131.1,244.7,7000.6,ad_platform_export,weekly,2023-08-15 09:00:00
2023-08-14,2023-08-20,East,Electronics,12010.01,3777.2357142857145,20000,3576.9,2948.7,194.1,6719.5,ad_platform_export,weekly,2023-08-22 09:00:00
2023-08-21,2023-08-27,East,Electronics,10491.13,3764.162857142857,21000,3447.6,2822.7,207.3,6477.8,ad_platform_export,weekly,2023-08-29 09:00:00
2023-08-28,2023-09-03,East,Electronics,4832.1,1629.1442857142858,20000,3382.5,1706.4,206.9,5296.0,ad_platform_export,weekly,2023-09-05 09:00:00
2023-09-04,2023-09-10,East,Electronics,4797.83,1529.0928571428572,22000,3317.7000000000003,1623.4,224.5,5165.6,ad_platform_export,weekly,2023-09-12 09:00:00
2023-09-11,2023-09-17,East,Electronics,4728.28,1519.0157142857145,18000,3314.1000000000004,1654.5,169.2,5137.8,ad_platform_export,weekly,2023-09-19 09:00:00
2023-09-18,2023-09-24,East,Electronics,4956.68,1548.7928571428572,19000,3211.3,1631.8,202.3,5045.5,ad_platform_export,weekly,2023-09-26 09:00:00
2023-09-25,2023-10-01,East,Electronics,4706.11,1509.9557142857143,31000,3151.9,1612.5,301.4,5066.0,ad_platform_export,weekly,2023-10-03 09:00:00
2023-10-02,2023-10-08,East,Electronics,4831.41,1521.3285714285714,17000,2990.3,1575.8,181.5,4747.6,ad_platform_export,weekly,2023-10-10 09:00:00
2023-10-09,2023-10-15,East,Electronics,6308.6,1799.042857142857,19000,3119.7,1868.1,200.6,5188.7,ad_platform_export,weekly,2023-10-17 09:00:00
2023-10-16,2023-10-22,East,Electronics,9400.8,3047.3214285714284,21000,2996.1,2584.4,201.4,5781.9,ad_platform_export,weekly,2023-10-24 09:00:00
2023-10-23,2023-10-29,East,Electronics,4791.76,1674.702857142857,27000,2997.0,1832.4,249.39999999999998,5079.0,ad_platform_export,weekly,2023-10-31 09:00:00
2023-10-30,2023-11-05,East,Electronics,4942.31,1557.847142857143,23000,3011.4,1646.0,245.4,4902.7,ad_platform_export,weekly,2023-11-07 09:00:00
2023-11-06,2023-11-12,East,Electronics,5028.1900000000005,1586.7657142857145,15000,3432.9,1637.4,156.0,5226.2,ad_platform_export,weekly,2023-11-14 09:00:00
2023-11-13,2023-11-19,East,Electronics,5103.18,1615.3971428571426,20000,4013.5,1591.0,210.5,5815.2,ad_platform_export,weekly,2023-11-21 09:00:00
2023-11-20,2023-11-26,East,Electronics,5192.37,1632.4142857142856,16000,4451.1,1510.2,153.6,6114.7,ad_platform_export,weekly,2023-11-28 09:00:00
2023-11-27,2023-12-03,East,Electronics,5576.01,1769.31,13000,4327.0,1684.2,130.6,6141.9,ad_platform_export,weekly,2023-12-05 09:00:00
2023-12-04,2023-12-10,East,Electronics,10009.09,2771.297142857143,19000,3790.0,2294.1,181.9,6266.0,ad_platform_export,weekly,2023-12-12 09:00:00
2023-12-11,2023-12-17,East,Electronics,12467.12,4139.288571428571,22000,3195.8,2992.2,220.4,6408.5,ad_platform_export,weekly,2023-12-19 09:00:00
2023-12-18,2023-12-24,East,Electronics,9648.65,3068.61,26000,2852.4,2594.6,277.2,5724.4,ad_platform_export,weekly,2023-12-26 09:00:00
2023-12-25,2023-12-31,East,Electronics,6669.5,2351.7242857142855,21000,2724.4,2230.0,222.1,5176.4,ad_platform_export,weekly,2024-01-02 09:00:00
2024-01-01,2024-01-07,East,Electronics,9380.03,2649.8557142857144,20000,2692.9,2359.7,213.89999999999998,5266.5,ad_platform_export,weekly,2024-01-09 09:00:00
2024-01-08,2024-01-14,East,Electronics,18997.42,5544.7,26000,2673.7,3514.0,265.0,6452.7,ad_platform_export,weekly,2024-01-16 09:00:00
2024-01-15,2024-01-21,East,Electronics,15449.32,5357.657142857142,24000,2572.4,3450.7,230.79999999999998,6253.8,ad_platform_export,weekly,2024-01-23 09:00:00
2024-01-22,2024-01-28,East,Electronics,4544.43,1829.8014285714287,27000,2804.7,1909.6,254.9,4969.1,ad_platform_export,weekly,2024-01-30 09:00:00
